"condition","treatment","timepoint","EntrezID","logfc","pval","fdr"
"5FU_24","5FU","24h",313917,0.345165453423751,3.2139755286709e-06,9.04412216633339e-06
"5FU_24","5FU","24h",313922,0.222541085492285,0.00386309516920204,0.0071268205213039
"5FU_24","5FU","24h",313934,0.614583676021303,1.47298385679329e-22,2.00166265656112e-21
"5FU_24","5FU","24h",313949,0.390528652218945,1.00372044794297e-10,4.60824839096592e-10
"5FU_24","5FU","24h",313977,0.438025222351015,1.0037554871632e-11,5.07245047228236e-11
"5FU_24","5FU","24h",313981,0.243840626072345,0.000595062655686162,0.00124701827082166
"5FU_24","5FU","24h",313993,1.24910525291384,1.17134178270082e-06,3.48125552489846e-06
"5FU_24","5FU","24h",313994,0.464372319847005,1.03679581217784e-17,9.33180349439471e-17
"5FU_24","5FU","24h",314004,0.394158453457058,0.00412499536956495,0.00757446159584259
"5FU_24","5FU","24h",314013,0.392959014717295,3.12237783339286e-12,1.66824842096915e-11
"5FU_24","5FU","24h",314028,0.481694409676094,1.01679752851949e-11,5.13657453317345e-11
"5FU_24","5FU","24h",314075,0.302273445195807,0.00455985100534018,0.00831268112669327
"5FU_24","5FU","24h",314157,0.81125643822063,6.72590404129238e-25,1.12386690490206e-23
"5FU_24","5FU","24h",314169,0.258761761200448,0.000113048122546079,0.000260373852751327
"5FU_24","5FU","24h",314196,0.650504171730544,4.03174889792625e-13,2.34337354075154e-12
"5FU_24","5FU","24h",314228,0.766040957336644,4.31291518318802e-13,2.49583171276813e-12
"5FU_24","5FU","24h",314259,0.26227831339503,0.000572933255117885,0.00120445913548833
"5FU_24","5FU","24h",314262,0.795630710605936,2.57841313109495e-10,1.13543796399261e-09
"5FU_24","5FU","24h",314265,0.441788659202523,1.30433629301271e-09,5.30111991301506e-09
"5FU_24","5FU","24h",314273,0.180643795296048,0.000415989896198661,0.000889555825635515
"5FU_24","5FU","24h",314311,1.31975397640337,6.25594381033194e-36,2.42151612275455e-34
"5FU_24","5FU","24h",314320,0.578852088233566,4.40551976979053e-17,3.76058268208395e-16
"5FU_24","5FU","24h",314321,0.870062446857824,8.10216481759203e-07,2.46383006174748e-06
"5FU_24","5FU","24h",314322,1.21063936719918,8.49752662346119e-14,5.26940786015569e-13
"5FU_24","5FU","24h",314330,0.247160891629706,6.51299696878273e-06,1.76091692148735e-05
"5FU_24","5FU","24h",314336,0.738332682835824,9.00103506404292e-40,4.53290880007199e-38
"5FU_24","5FU","24h",314384,0.338240422573843,4.23587670657283e-06,1.17314842221619e-05
"5FU_24","5FU","24h",314396,0.889329796647192,3.10917207488382e-05,7.70490215866833e-05
"5FU_24","5FU","24h",314399,0.1896064991211,0.000214564516585714,0.00047778028983912
"5FU_24","5FU","24h",314432,0.297971466752785,7.70893918104861e-21,9.12161795455134e-20
"5FU_24","5FU","24h",314436,0.467514598526012,2.66888541098078e-13,1.57577924021965e-12
"5FU_24","5FU","24h",314453,0.586349428768791,2.05300245067468e-18,1.95162623560544e-17
"5FU_24","5FU","24h",314523,0.391838616814024,2.39256614831487e-06,6.84786779205007e-06
"5FU_24","5FU","24h",314548,0.427169956813124,6.33078544582756e-07,1.95125479412483e-06
"5FU_24","5FU","24h",314553,0.200634383671889,0.000325448036790877,0.000706950854843944
